A_re,0.241510600736,0.285659252270,0.323756075614,0.357717095000,0.388607293610,0.417090218050,0.443611771731,0.468488224828,0.491953183192,0.514184730276,0.535322100502,0.555476431509,0.574737977989,0.593181113445,0.610867896017,0.627850671883,0.644174015665,0.659876203041,0.674990346315,0.689545282587,0.703566277306,0.717075587992,0.730092920614,0.742635802562,0.754719890101,0.766359223803,0.777566442332,0.788352962557,0.798729132250,0.808704360295,0.818287228312,0.827485586837,0.836306638574,0.844757010788,0.852842818504,0.860569719902,0.867942965046,0.874967438896,0.881647699404,0.887988011348,0.893992376482,0.899664560466,0.905008116993,0.910026409441,0.914722630375,0.919099819126,0.923160877685,0.926908585098,0.930345610528,0.933474525124,0.936297812836,0.938817880270,0.941037065692,0.942957647264,0.944581850584,0.945911855598,0.946949802949,0.947697799809,0.948157925237,0.948332235122,0.948222766726,0.947831542881,0.947160575853,0.946211870910,0.944987429618,0.943489252884,0.941719343765,0.939679710064,0.937372366727,0.934799338057,0.931962659759,0.928864380826,0.925506565277,0.921891293765,0.918020665045,0.913896797338,0.909521829575,0.904897922537,0.900027259904,0.894912049205,0.889554522688,0.883956938110,0.878121579442,0.872050757516,0.865746810593,0.859212104877,0.852449034958,0.845460024208,0.838247525117,0.830814019582,0.823162019142,0.815294065171,0.807212729028,0.798920612158,0.790420346166,0.781714592836,0.772806044130,0.763697422145,0.754391479032,0.744890996894,0.735198787646,0.725317692847,0.715250583511,0.705000359879,0.694569951176,0.683962315339,0.673180438722,0.662227335781,0.651106048729,0.639819647182,0.628371227775,0.616763913762,0.605000854601,0.593085225514,0.581020227036,0.568809084542,0.556455047765,0.543961390288,0.531331409034,0.518568423731,0.505675776369,0.492656830640,0.479514971368,0.466253603928,0.452876153649,0.439386065206,0.425786802005,0.412081845556,0.398274694830,0.384368865617,0.370367889865,0.356275315014,0.342094703322,0.327829631183,0.313483688433,0.299060477655,0.284563613470,0.269996721827,0.255363439282,0.240667412273,0.225912296392,0.211101755641,0.196239461696,0.181329093160,0.166374334806,0.151378876826,0.136346414068,0.121280645270,0.106185272300,0.091063999375,0.075920532293,0.060758577657,0.045581842090,0.030394031462,0.015198850098
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.241510600736,-0.285659252270,-0.323756075614,-0.357717095000,-0.388607293610,-0.417090218050,-0.443611771731,-0.468488224828,-0.491953183192,-0.514184730276,-0.535322100502,-0.555476431509,-0.574737977989,-0.593181113445,-0.610867896017,-0.627850671883,-0.644174015665,-0.659876203041,-0.674990346315,-0.689545282587,-0.703566277306,-0.717075587992,-0.730092920614,-0.742635802562,-0.754719890101,-0.766359223803,-0.777566442332,-0.788352962557,-0.798729132250,-0.808704360295,-0.818287228312,-0.827485586837,-0.836306638574,-0.844757010788,-0.852842818504,-0.860569719902,-0.867942965046,-0.874967438896,-0.881647699404,-0.887988011348,-0.893992376482,-0.899664560466,-0.905008116993,-0.910026409441,-0.914722630375,-0.919099819126,-0.923160877685,-0.926908585098,-0.930345610528,-0.933474525124,-0.936297812836,-0.938817880269,-0.941037065692,-0.942957647264,-0.944581850584,-0.945911855598,-0.946949802949,-0.947697799809,-0.948157925237,-0.948332235121,-0.948222766726,-0.947831542881,-0.947160575853,-0.946211870910,-0.944987429618,-0.943489252884,-0.941719343765,-0.939679710064,-0.937372366727,-0.934799338057,-0.931962659759,-0.928864380826,-0.925506565277,-0.921891293765,-0.918020665045,-0.913896797338,-0.909521829575,-0.904897922537,-0.900027259904,-0.894912049205,-0.889554522688,-0.883956938110,-0.878121579442,-0.872050757516,-0.865746810593,-0.859212104877,-0.852449034958,-0.845460024208,-0.838247525117,-0.830814019582,-0.823162019142,-0.815294065171,-0.807212729028,-0.798920612158,-0.790420346166,-0.781714592836,-0.772806044130,-0.763697422145,-0.754391479032,-0.744890996894,-0.735198787645,-0.725317692847,-0.715250583511,-0.705000359879,-0.694569951176,-0.683962315339,-0.673180438722,-0.662227335781,-0.651106048729,-0.639819647182,-0.628371227775,-0.616763913762,-0.605000854601,-0.593085225514,-0.581020227036,-0.568809084542,-0.556455047765,-0.543961390288,-0.531331409034,-0.518568423731,-0.505675776369,-0.492656830640,-0.479514971368,-0.466253603928,-0.452876153649,-0.439386065206,-0.425786802005,-0.412081845556,-0.398274694830,-0.384368865617,-0.370367889865,-0.356275315014,-0.342094703322,-0.327829631183,-0.313483688433,-0.299060477655,-0.284563613470,-0.269996721827,-0.255363439282,-0.240667412273,-0.225912296392,-0.211101755640,-0.196239461696,-0.181329093160,-0.166374334806,-0.151378876826,-0.136346414068,-0.121280645270,-0.106185272300,-0.091063999375,-0.075920532293,-0.060758577657,-0.045581842090,-0.030394031462,-0.015198850098
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156
# constraint,norm
# norm_sq,156.000000000000
# dEdt,25.334868492179
# lambda_max,25.331914870694
