A_re,0.238530069382,0.282138703225,0.319773311648,0.353326641116,0.383850869716,0.412001666601,0.438219720987,0.462817669137,0.486026486104,0.508022294656,0.528942834406,0.548898082621,0.567977380018,0.586254371630,0.603790529299,0.620637723522,0.636840140393,0.652435736446,0.667457360563,0.681933631481,0.695889632931,0.709347470621,0.722326723185,0.734844810731,0.746917298647,0.758558150027,0.769779936933,0.780594018399,0.791010691342,0.801039319253,0.810688442527,0.819965873526,0.828878778874,0.837433751018,0.845636870708,0.853493761756,0.861009639220,0.868189351933,0.875037420166,0.881558069100,0.887755258635,0.893632710030,0.899193929774,0.904442231006,0.909380752813,0.914012477628,0.918340246965,0.922366775673,0.926094664868,0.929526413699,0.932664430057,0.935511040349,0.938068498428,0.940338993761,0.942324658916,0.944027576426,0.945449785098,0.946593285813,0.947460046857,0.948052008845,0.948371089252,0.948419186593,0.948198184291,0.947709954243,0.946956360123,0.945939260426,0.944660511301,0.943121969154,0.941325493073,0.939272947059,0.936966202102,0.934407138095,0.931597645604,0.928539627512,0.925235000526,0.921685696580,0.917893664124,0.913860869308,0.909589297079,0.905080952183,0.900337860084,0.895362067809,0.890155644715,0.884720683187,0.879059299270,0.873173633243,0.867065850129,0.860738140155,0.854192719157,0.847431828932,0.840457737553,0.833272739628,0.825879156524,0.818279336550,0.810475655094,0.802470514738,0.794266345321,0.785865603983,0.777270775170,0.768484370608,0.759508929254,0.750347017210,0.741001227619,0.731474180533,0.721768522751,0.711886927640,0.701832094935,0.691606750507,0.681213646121,0.670655559170,0.659935292389,0.649055673547,0.638019555134,0.626829814011,0.615489351064,0.604001090827,0.592367981097,0.580592992530,0.568679118230,0.556629373314,0.544446794471,0.532134439507,0.519695386876,0.507132735200,0.494449602776,0.481649127078,0.468734464239,0.455708788529,0.442575291822,0.429337183054,0.415997687671,0.402560047063,0.389027518005,0.375403372068,0.361690895042,0.347893386340,0.334014158398,0.320056536068,0.306023856007,0.291919466052,0.277746724600,0.263508999972,0.249209669778,0.234852120274,0.220439745714,0.205975947699,0.191464134522,0.176907720504,0.162310125331,0.147674773385,0.133005093074,0.118304516157,0.103576477063,0.088824412211,0.074051759332,0.059261956775,0.044458442825,0.029644655014,0.014824029424
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.238530069382,-0.282138703225,-0.319773311648,-0.353326641116,-0.383850869716,-0.412001666601,-0.438219720987,-0.462817669137,-0.486026486104,-0.508022294656,-0.528942834406,-0.548898082621,-0.567977380018,-0.586254371630,-0.603790529299,-0.620637723522,-0.636840140393,-0.652435736446,-0.667457360563,-0.681933631481,-0.695889632931,-0.709347470621,-0.722326723185,-0.734844810731,-0.746917298647,-0.758558150027,-0.769779936933,-0.780594018399,-0.791010691342,-0.801039319253,-0.810688442527,-0.819965873526,-0.828878778874,-0.837433751018,-0.845636870708,-0.853493761756,-0.861009639220,-0.868189351933,-0.875037420166,-0.881558069100,-0.887755258635,-0.893632710030,-0.899193929774,-0.904442231006,-0.909380752813,-0.914012477628,-0.918340246965,-0.922366775673,-0.926094664868,-0.929526413699,-0.932664430057,-0.935511040349,-0.938068498428,-0.940338993761,-0.942324658916,-0.944027576426,-0.945449785098,-0.946593285813,-0.947460046857,-0.948052008845,-0.948371089252,-0.948419186593,-0.948198184291,-0.947709954243,-0.946956360122,-0.945939260426,-0.944660511301,-0.943121969154,-0.941325493073,-0.939272947059,-0.936966202102,-0.934407138095,-0.931597645604,-0.928539627512,-0.925235000526,-0.921685696580,-0.917893664124,-0.913860869308,-0.909589297079,-0.905080952182,-0.900337860084,-0.895362067809,-0.890155644715,-0.884720683187,-0.879059299270,-0.873173633243,-0.867065850129,-0.860738140155,-0.854192719157,-0.847431828932,-0.840457737553,-0.833272739628,-0.825879156524,-0.818279336550,-0.810475655094,-0.802470514738,-0.794266345321,-0.785865603983,-0.777270775170,-0.768484370608,-0.759508929254,-0.750347017210,-0.741001227619,-0.731474180533,-0.721768522751,-0.711886927640,-0.701832094935,-0.691606750507,-0.681213646121,-0.670655559170,-0.659935292389,-0.649055673547,-0.638019555133,-0.626829814011,-0.615489351064,-0.604001090827,-0.592367981097,-0.580592992530,-0.568679118230,-0.556629373314,-0.544446794471,-0.532134439507,-0.519695386876,-0.507132735200,-0.494449602776,-0.481649127078,-0.468734464239,-0.455708788529,-0.442575291822,-0.429337183054,-0.415997687671,-0.402560047063,-0.389027518005,-0.375403372068,-0.361690895042,-0.347893386340,-0.334014158398,-0.320056536068,-0.306023856007,-0.291919466052,-0.277746724600,-0.263508999972,-0.249209669778,-0.234852120274,-0.220439745714,-0.205975947699,-0.191464134522,-0.176907720504,-0.162310125331,-0.147674773385,-0.133005093074,-0.118304516157,-0.103576477063,-0.088824412211,-0.074051759332,-0.059261956775,-0.044458442825,-0.029644655014,-0.014824029424
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
# constraint,norm
# norm_sq,160.000000000000
# dEdt,25.984480504799
# lambda_max,25.981599371557
