A_re,0.369126394089,0.435898823239,0.492967999970,0.543209936272,0.588204847972,0.628923856855,0.666009385921,0.699909254035,0.730948137693,0.759368803716,0.785357397733,0.809059724570,0.830592151685,0.850049155202,0.867508689059,0.883036096832,0.896687020629,0.908509603013,0.918546179877,0.926834599844,0.933409264943,0.938301960121,0.941542520478,0.943159372212,0.943179974114,0.941631179864,0.938539536608,0.933931531777,0.927833797466,0.920273279714,0.911277378503,0.900874063157,0.889091966884,0.875960463539,0.861509729092,0.845770789877,0.828775559327,0.810556864625,0.791148464469,0.770585058971,0.748902292547,0.726136750546,0.702325950243,0.677508326767,0.651723214426,0.625010823875,0.597412215475,0.568969269215,0.539724651453,0.509721778783,0.479004779253,0.447618451170,0.415608219682,0.383020091359,0.349900606914,0.316296792264,0.282256108067,0.247826397894,0.213055835181,0.177992869080,0.142686169365,0.107184570490,0.071537014944,0.035792496003
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.369126394089,-0.435898823239,-0.492967999970,-0.543209936272,-0.588204847972,-0.628923856855,-0.666009385921,-0.699909254035,-0.730948137693,-0.759368803716,-0.785357397733,-0.809059724570,-0.830592151685,-0.850049155202,-0.867508689059,-0.883036096832,-0.896687020629,-0.908509603013,-0.918546179877,-0.926834599844,-0.933409264943,-0.938301960121,-0.941542520478,-0.943159372212,-0.943179974114,-0.941631179864,-0.938539536608,-0.933931531777,-0.927833797466,-0.920273279714,-0.911277378503,-0.900874063157,-0.889091966884,-0.875960463539,-0.861509729092,-0.845770789877,-0.828775559327,-0.810556864625,-0.791148464469,-0.770585058971,-0.748902292547,-0.726136750546,-0.702325950243,-0.677508326767,-0.651723214427,-0.625010823875,-0.597412215475,-0.568969269215,-0.539724651453,-0.509721778783,-0.479004779253,-0.447618451170,-0.415608219682,-0.383020091359,-0.349900606914,-0.316296792264,-0.282256108067,-0.247826397894,-0.213055835181,-0.177992869080,-0.142686169365,-0.107184570490,-0.071537014944,-0.035792496003
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
# constraint,norm
# norm_sq,65.000000000000
# dEdt,5.172535650487
# lambda_max,5.169150836294
