A_re,0.383457281595,0.452671215457,0.511708331983,0.563545398222,0.609814270978,0.651515170093,0.689307860389,0.723650872044,0.754875675402,0.783229467893,0.808901408629,0.832039503032,0.852761907442,0.871164749997,0.887327692986,0.901317983249,0.913193462024,0.923004841164,0.930797450959,0.936612600082,0.940488645872,0.942461844937,0.942567034722,0.940838183325,0.937308835337,0.932012474679,0.924982820478,0.916254068361,0.905861086805,0.893839576183,0.880226196520,0.865058668821,0.848375853879,0.830217811748,0.810625844507,0.789642524462,0.767311709602,0.743678547811,0.718789471121,0.692692181087,0.665435626221,0.637069972302,0.607646566244,0.577217894164,0.545837534180,0.513560104435,0.480441206783,0.446537366535,0.411905968630,0.376605190557,0.340693932346,0.304231743914,0.267278750032,0.229895573164,0.192143254439,0.154083172964,0.115776963706,0.077286434164,0.038673480025
A_im,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
B_re,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000,-0.000000000000
B_im,-0.383457281595,-0.452671215457,-0.511708331983,-0.563545398222,-0.609814270978,-0.651515170093,-0.689307860389,-0.723650872044,-0.754875675402,-0.783229467893,-0.808901408629,-0.832039503032,-0.852761907442,-0.871164749997,-0.887327692986,-0.901317983249,-0.913193462024,-0.923004841164,-0.930797450959,-0.936612600082,-0.940488645872,-0.942461844937,-0.942567034722,-0.940838183325,-0.937308835337,-0.932012474679,-0.924982820478,-0.916254068361,-0.905861086805,-0.893839576183,-0.880226196520,-0.865058668821,-0.848375853879,-0.830217811748,-0.810625844507,-0.789642524462,-0.767311709602,-0.743678547811,-0.718789471121,-0.692692181087,-0.665435626221,-0.637069972302,-0.607646566244,-0.577217894164,-0.545837534180,-0.513560104435,-0.480441206783,-0.446537366535,-0.411905968630,-0.376605190557,-0.340693932346,-0.304231743914,-0.267278750032,-0.229895573164,-0.192143254439,-0.154083172964,-0.115776963706,-0.077286434164,-0.038673480025
M,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
L,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
# constraint,norm
# norm_sq,60.000000000000
# dEdt,4.774648292757
# lambda_max,4.770994676587
